,categories,user_reviews
191,single-player;mmo;online pvp;online co-op;cross-platform multiplayer;downloadable content;partial controller support,0.75
193,single-player;steam achievements;full controller support;steam trading cards;steam cloud;remote play on tablet,0.9
194,single-player;steam achievements;full controller support;steam trading cards;steam cloud;incorporates 3rd-party drm: denuvo anti-tamper;requires agreement to a 3rd-party eula;persona 4: golden eula,0.97
195,single-player;steam achievements;full controller support;steam trading cards;steam cloud;remote play on tablet;remote play on tv;requires agreement to a 3rd-party eula;resident evil 2 / biohazard re:2 eula,0.95
198,single-player;steam achievements;full controller support;steam trading cards;remote play on tablet;remote play on tv,0.97
202,single-player;steam achievements;full controller support;steam trading cards;steam cloud;steam leaderboards;remote play on phone;remote play on tablet;remote play on tv,0.9
214,single-player;steam achievements;partial controller support;steam leaderboards;remote play on phone;remote play on tablet,0.96
217,single-player;online pvp;online co-op;steam achievements;full controller support;steam trading cards;steam workshop;steam cloud;valve anti-cheat enabled;includes level editor;remote play on tablet;remote play on tv;requires agreement to a 3rd-party eula;dying light eula,0.95
221,single-player;steam achievements;full controller support;steam trading cards;steam cloud;remote play on tv,0.96
230,single-player;steam achievements;full controller support;steam trading cards;steam cloud;requires agreement to a 3rd-party eula;resident evil 7 biohazard / biohazard 7 resident evil eula,0.94
234,single-player;mmo;partial controller support;remote play on tablet;requires agreement to a 3rd-party eula;elite: dangerous eula,0.78
240,single-player;online pvp;cross-platform multiplayer;steam achievements;steam trading cards;in-app purchases;requires agreement to a 3rd-party eula;yu-gi-oh! duel links eula,0.86
242,single-player;steam achievements;steam trading cards;steam workshop;steam cloud;incorporates 3rd-party drm: denuvo antitamper;requires agreement to a 3rd-party eula;planet coaster eula,0.94
248,single-player;online pvp;shared/split screen pvp;online co-op;shared/split screen co-op;steam achievements;full controller support;in-app purchases;steam cloud;remote play on phone;remote play on tablet;remote play on tv;remote play together;requires agreement to a 3rd-party eula;nba 2k20 eula,0.58
251,single-player;cross-platform multiplayer;steam achievements;steam trading cards;steam workshop;steam cloud;requires agreement to a 3rd-party eula;europa universalis iv eula,0.88
252,single-player;steam achievements;full controller support;steam trading cards;steam cloud;remote play on tablet;remote play on tv;requires agreement to a 3rd-party eula;mafia iii eula,0.58
254,single-player;online pvp;shared/split screen pvp;steam achievements;full controller support;steam trading cards;steam cloud;remote play on phone;remote play on tablet;remote play on tv;remote play together;requires agreement to a 3rd-party eula;dragon ball fighter;z eula,0.92
255,mmo;steam achievements;full controller support;in-app purchases;requires agreement to a 3rd-party eula;star trek online eula,0.74
257,mmo;steam trading cards;partial controller support,0.53
264,single-player;online pvp;shared/split screen pvp;steam achievements;steam workshop;partial controller support;stats;includes level editor;remote play on phone;remote play on tablet;remote play together,0.87
266,single-player;steam achievements;full controller support;steam trading cards;steam cloud;remote play on phone;remote play on tablet;remote play on tv;requires agreement to a 3rd-party eula;borderlands 2 eula,0.94
268,single-player;shared/split screen pvp;shared/split screen co-op;steam achievements;full controller support;steam trading cards;steam cloud;remote play on phone;remote play on tablet;remote play on tv;remote play together,0.95
271,single-player;mmo;online co-op;cross-platform multiplayer;in-app purchases;requires agreement to a 3rd-party eula;shop titans eula,0.73
273,single-player;online co-op;shared/split screen co-op;steam achievements;full controller support;steam trading cards;steam cloud;remote play on phone;remote play on tablet;remote play on tv;remote play together,0.93
274,online pvp;downloadable content;steam workshop;steam cloud;valve anti-cheat enabled,0.72
275,single-player;steam achievements;steam trading cards;steam workshop;steam cloud;remote play on tablet;requires agreement to a 3rd-party eula;pillars of eternity ii: deadfire eula,0.89
278,mmo;online pvp;online co-op;steam achievements;full controller support;steam trading cards;in-app purchases;remote play on tablet;remote play on tv,0.79
283,single-player;online pvp;online co-op;downloadable content;steam achievements;full controller support;in-app purchases,0.89
284,single-player;steam achievements;steam trading cards;steam cloud;remote play on phone;remote play on tablet,0.92
285,single-player;steam achievements;full controller support;steam trading cards;steam cloud;remote play on phone;remote play on tablet;remote play on tv,0.96
287,single-player;shared/split screen pvp;shared/split screen co-op;steam achievements;full controller support;steam trading cards;steam cloud;remote play on phone;remote play on tablet;remote play on tv;remote play together,0.97
297,single-player;steam achievements;full controller support;steam trading cards;steam cloud;remote play on tv;incorporates 3rd-party drm: denuvo antitamper;requires agreement to a 3rd-party eula;jurassic world evolution eula,0.92
306,single-player;online co-op;shared/split screen co-op;steam achievements;full controller support;steam trading cards;steam cloud;remote play on phone;remote play on tablet;remote play on tv;remote play together;requires agreement to a 3rd-party eula;darksiders genesis eula,0.76
315,single-player;online pvp;online co-op;steam achievements;full controller support;steam trading cards;steam workshop;in-app purchases;valve anti-cheat enabled;includes level editor;remote play on tablet;remote play on tv;requires agreement to a 3rd-party eula;killing floor 2 eula,0.84
317,single-player;steam achievements;steam trading cards;in-app purchases;remote play on tablet;requires agreement to a 3rd-party eula;idle champions of the forgotten realms eula,0.79
321,single-player;mmo;online pvp;online co-op;downloadable content;steam achievements;full controller support;steam workshop;steam cloud;valve anti-cheat enabled;includes level editor,0.62
322,single-player;online co-op;downloadable content;steam achievements;full controller support;steam cloud;remote play on tv,0.75
327,single-player;steam achievements;full controller support;steam cloud;remote play on phone;remote play on tablet;remote play on tv,0.96
329,single-player;steam achievements;full controller support;steam cloud;requires agreement to a 3rd-party eula;ancestors: the humankind odyssey  eula,0.78
335,single-player;steam achievements;full controller support;steam trading cards;steam cloud;remote play on phone;remote play on tablet;remote play on tv,0.74
337,single-player,0.95
338,single-player;steam achievements;full controller support;steam trading cards;steam cloud;remote play on phone;remote play on tablet;remote play on tv,0.94
344,single-player;online pvp;online co-op;steam achievements;steam trading cards;steam workshop;steam cloud;stats;requires agreement to a 3rd-party eula;company of heroes 2 eula,0.85
350,single-player;steam achievements;full controller support;steam trading cards;steam workshop;steam cloud;remote play on phone;remote play on tablet;remote play on tv,0.96
352,single-player;steam achievements;steam trading cards;partial controller support;steam cloud;remote play on phone;remote play on tablet;requires agreement to a 3rd-party eulaeula_55230,0.95
354,single-player;steam achievements;full controller support;steam trading cards;steam cloud;remote play on phone;remote play on tablet;remote play on tv,0.94
355,single-player;steam achievements;full controller support;steam trading cards;steam workshop;steam cloud;stats;steam leaderboards;remote play on phone;remote play on tablet;remote play on tv,0.97
359,single-player;online pvp;steam achievements;full controller support;steam trading cards;steam cloud;requires agreement to a 3rd-party eula;project cars 3 eula,0.48
365,single-player;steam achievements;full controller support;captions available;steam cloud,0.88
