,categories,user_reviews
799,single-player;mmo;downloadable content;steam achievements;full controller support;steam workshop;steam cloud;valve anti-cheat enabled;includes level editor,0.68
805,single-player;online pvp;lan pvp;steam cloud,0.94
807,single-player;shared/split screen pvp;shared/split screen co-op;steam achievements;full controller support;steam cloud;remote play on phone;remote play on tablet;remote play on tv;remote play together,0.84
815,single-player;steam achievements;full controller support;steam trading cards;steam cloud;remote play on tv;requires agreement to a 3rd-party eula;little nightmares eula,0.93
829,single-player;online pvp;steam achievements;full controller support;steam trading cards;in-app purchases;steam cloud;valve anti-cheat enabled;remote play on tv;requires agreement to a 3rd-party eula;armello eula,0.81
833,single-player;downloadable content;steam achievements;steam trading cards;partial controller support;steam cloud;stats;steam leaderboards;incorporates 3rd-party drm: denuvo anti-tamper5 different pc within a day machine activation limit,0.9
846,single-player;steam achievements;full controller support;steam trading cards;steam leaderboards;remote play on tv,0.92
847,single-player;steam achievements;steam trading cards;steam workshop;steam cloud;requires agreement to a 3rd-party eula;motorsport manager eula,0.89
868,single-player;online pvp;online co-op;steam achievements;full controller support;steam trading cards;captions available;steam cloud;steam leaderboards;remote play on tv,0.98
869,single-player;steam achievements;steam cloud;stats;steam leaderboards,0.91
873,single-player;steam achievements;full controller support;steam trading cards;steam cloud;remote play on tv,0.85
880,single-player;steam achievements;full controller support;steam workshop;steam cloud;valve anti-cheat enabled;steam leaderboards;remote play on phone;remote play on tablet;remote play on tv;remote play together,0.87
881,single-player;steam achievements;full controller support;steam workshop;steam leaderboards;includes level editor;remote play on tv,0.93
882,single-player;cross-platform multiplayer;steam achievements;steam trading cards;captions available;steam cloud,0.91
890,single-player;shared/split screen pvp;shared/split screen co-op;full controller support;steam cloud;remote play together,0.97
891,single-player;steam achievements;full controller support;steam trading cards;steam cloud;requires agreement to a 3rd-party eula;final fantasy xii the zodiac age eula,0.94
892,single-player;shared/split screen co-op;steam achievements;full controller support;steam cloud;remote play on phone;remote play on tablet;remote play on tv;remote play together,0.64
895,single-player;online co-op;steam achievements,0.78
897,single-player;steam trading cards,0.92
907,single-player;online pvp;steam achievements;full controller support;steam trading cards;captions available;steam workshop;in-app purchases;steam cloud;valve anti-cheat enabled;stats;steam leaderboards;includes level editor;requires agreement to a 3rd-party eula;depth eula,0.92
912,single-player;steam achievements;full controller support;steam trading cards;steam cloud;steam leaderboards;remote play on phone;remote play on tablet;remote play on tv,0.75
918,single-player;steam achievements;steam trading cards;partial controller support;steam cloud;remote play on phone;remote play on tablet,0.92
926,single-player;steam achievements;full controller support;steam trading cards;remote play on phone;remote play on tablet;remote play on tv;requires agreement to a 3rd-party eula;superhot eula,0.95
929,single-player;online pvp;shared/split screen pvp;steam achievements;partial controller support;remote play together,0.5
932,single-player;steam achievements;full controller support;steam trading cards;steam cloud;steam leaderboards;requires agreement to a 3rd-party eula;resident evil / biohazard hd remaster eula,0.9
935,single-player;online pvp;shared/split screen pvp;steam achievements;full controller support;in-app purchases;steam cloud;steam leaderboards;remote play on phone;remote play on tablet;remote play on tv;remote play together;requires agreement to a 3rd-party eula;dead or alive 6 eula,0.76
940,single-player;steam achievements;full controller support;steam cloud,0.77
945,single-player;online pvp;online co-op;steam achievements;steam trading cards;partial controller support;requires agreement to a 3rd-party eula;dungeon defenders ii eula,0.86
954,single-player;requires agreement to a 3rd-party eula;electronic arts software end user license agreement,0.95
967,single-player;online pvp;online co-op;downloadable content;steam achievements;steam trading cards;steam workshop;steam cloud;includes level editor,0.3
969,single-player;steam;vr collectibles;requires agreement to a 3rd-party eula;fallout 4 vr eula,0.65
992,single-player;requires agreement to a 3rd-party eula;command and conquer: red alert 3 - uprising eula 1,0.82
1004,single-player;steam achievements;partial controller support;incorporates 3rd-party drm: game;shield,0.8
1006,single-player;steam achievements;remote play on phone;remote play on tablet;ea play subscription requires acceptance of;ea play terms,0.96
1012,single-player;steam achievements;full controller support;steam leaderboards;remote play on tablet;remote play on tv;requires agreement to a 3rd-party eula;sleeping dogs: definitive edition eula,0.95
1018,single-player;steam achievements;steam trading cards;partial controller support;steam cloud;steam leaderboards,0.91
1026,single-player;steam achievements;captions available;partial controller support;steam cloud;remote play on phone;remote play on tablet,0.83
1028,single-player;online pvp;shared/split screen pvp;online co-op;shared/split screen co-op;steam achievements;full controller support;steam trading cards;steam cloud;remote play on phone;remote play on tablet;remote play on tv;remote play together,0.98
1030,online pvp;steam achievements;steam trading cards;in-app purchases;steam cloud;requires agreement to a 3rd-party eula;star trek timelines eula,0.69
1032,single-player;steam achievements;steam trading cards;remote play on phone;remote play on tablet,0.92
1036,single-player;online pvp;shared/split screen pvp;steam achievements;full controller support;steam trading cards;steam cloud;steam leaderboards;remote play on phone;remote play on tablet;remote play on tv;remote play together,0.96
1046,single-player;steam trading cards;steam workshop;steam cloud;requires agreement to a 3rd-party eula;company of heroes eula,0.93
1053,single-player;online pvp;shared/split screen pvp;steam achievements;full controller support;steam trading cards;steam cloud;steam leaderboards;remote play together,0.85
1057,single-player;steam achievements;steam trading cards;steam cloud;requires agreement to a 3rd-party eula;the evil within 2 eula,0.89
1060,single-player;online pvp;steam achievements;full controller support;steam trading cards;steam cloud;remote play on tv;incorporates 3rd-party drm: denuvo anti-tamper;requires agreement to a 3rd-party eula;dead rising 4 eula,0.67
1061,single-player;steam cloud,0.88
1070,single-player;steam achievements;full controller support;steam trading cards;steam cloud;valve anti-cheat enabled;requires agreement to a 3rd-party eula;resident evil revelations / biohazard revelations ue eula,0.9
1074,single-player;requires agreement to a 3rd-party eula;mass effect eula 1ea play subscription requires acceptance of;ea play terms,0.95
1077,single-player;steam achievements;partial controller support;requires agreement to a 3rd-party eula;mafia ii eula,0.96
1091,single-player;steam achievements;steam trading cards;partial controller support;steam cloud;requires agreement to a 3rd-party eula;batman: arkham city goty eula,0.94
1096,single-player;steam cloud,0.7
1099,single-player;online pvp;shared/split screen pvp;cross-platform multiplayer;steam achievements;full controller support;steam trading cards;steam cloud;steam leaderboards;remote play on phone;remote play on tablet;remote play on tv;remote play together,0.78
1102,single-player;online pvp;online co-op;steam achievements;steam trading cards;steam workshop;steam cloud;valve anti-cheat enabled;stats;steam leaderboards,0.92
1104,single-player;steam achievements;full controller support;steam trading cards;steam cloud;remote play on phone;remote play on tablet;remote play on tv,0.97
1105,single-player;steam achievements;full controller support;steam trading cards;steam cloud;remote play on tv,0.9
1107,single-player;shared/split screen co-op;steam achievements;full controller support;steam trading cards;steam cloud;remote play together,0.64
1116,single-player;steam achievements;partial controller support;requires agreement to a 3rd-party eula;superhot : mind control delete eula,0.78
1127,single-player;steam achievements;full controller support;steam trading cards;remote play on tv,0.8
1131,single-player;shared/split screen co-op;steam achievements;full controller support;steam trading cards;steam cloud;remote play on tv;remote play together,0.95
1132,single-player;full controller support;steam trading cards;remote play on phone;remote play on tablet;remote play on tv;requires agreement to a 3rd-party eula;dead space eula 1ea play subscription requires acceptance of;ea play terms,0.87
1139,single-player;steam achievements;steam trading cards;partial controller support;steam cloud,0.58
1147,single-player;requires agreement to a 3rd-party eula;mass effect 2 eula;ea play subscription requires acceptance of;ea play terms,0.94
1148,single-player;steam achievements;full controller support;steam trading cards;steam cloud;remote play on tv;incorporates 3rd-party drm: denuvo anti-tamper;requires agreement to a 3rd-party eula;valkyria chronicles 4 eula,0.84
1151,single-player;partial controller support;requires agreement to a 3rd-party eulaeula_99830ea play subscription requires acceptance of;ea play terms,0.94
1153,single-player;steam achievements;full controller support;steam trading cards;remote play on tv;requires agreement to a 3rd-party eula;devil may cry hd collection eula,0.91
1158,single-player;online pvp;shared/split screen pvp;steam achievements;full controller support;steam leaderboards;remote play together,0.76
1160,single-player;steam achievements;full controller support;steam leaderboards;remote play on tv,0.95
1162,single-player;cross-platform multiplayer;steam achievements;full controller support;steam trading cards;steam cloud;remote play on tv;requires agreement to a 3rd-party eula;xcom: enemy unknown eula,0.92
1168,single-player;steam achievements;steam trading cards;steam cloud;stats;steam leaderboards,0.93
1169,single-player;steam achievements;captions available;partial controller support;steam cloud,0.87
1178,single-player;steam achievements;steam trading cards;steam workshop;steam cloud,0.93
1179,single-player;online pvp;shared/split screen pvp;online co-op;shared/split screen co-op;cross-platform multiplayer;steam achievements;in-app purchases;remote play on phone;remote play on tablet;remote play together,0.76
1188,single-player;online pvp;shared/split screen pvp;steam achievements;full controller support;steam cloud;steam leaderboards;remote play on tv;remote play together,0.96
1189,single-player;steam achievements;full controller support;steam trading cards;steam cloud,0.89
1190,mmo;online pvp;online co-op;cross-platform multiplayer;full controller support;steam;vr collectibles;in-app purchases;includes level editor;requires agreement to a 3rd-party eula;rec room eula,0.91
1198,single-player;online pvp;online co-op;steam achievements;full controller support;steam trading cards;steam cloud;remote play on tv,0.81
1204,single-player;requires agreement to a 3rd-party eula;sid meier's civilization iv: colonization eula,0.92
1216,single-player;requires agreement to a 3rd-party eula;mass effect 2 eula,0.94
1218,single-player;online pvp;shared/split screen pvp;steam achievements;full controller support;steam cloud;remote play on phone;remote play on tablet;remote play on tv;remote play together;requires agreement to a 3rd-party eula;the dark pictures anthology - man of medan eula,0.78
1220,single-player;online pvp;online co-op;steam achievements;steam trading cards;steam workshop;stats,0.74
1222,single-player;online pvp;lan pvp;online co-op;lan co-op;downloadable content;captions available;steam workshop;partial controller support;steam leaderboards;includes level editor,0.63
1225,single-player;partial controller support;remote play together,0.88
1244,single-player;online pvp;shared/split screen pvp;steam achievements;full controller support;in-app purchases;steam cloud;steam leaderboards,0.87
1248,single-player;online pvp;steam achievements;full controller support;steam trading cards;steam cloud;steam leaderboards;requires agreement to a 3rd-party eula;verdun eula,0.91
1249,single-player;steam achievements;full controller support;steam trading cards;steam cloud;remote play on tv,0.92
1253,single-player;steam achievements;full controller support;steam trading cards;steam cloud;remote play on phone;remote play on tablet;remote play on tv;incorporates 3rd-party drm: denuvo antitamper;requires agreement to a 3rd-party eula;mad max eula,0.93
1258,single-player;steam achievements;steam workshop;steam cloud;requires agreement to a 3rd-party eula;homeworld remastered collection eula,0.94
1271,single-player;online co-op;shared/split screen co-op;steam achievements;full controller support;steam cloud;remote play on tablet;remote play on tv;remote play together,0.95
1280,single-player;steam achievements;partial controller support;remote play on phone;remote play on tablet;requires agreement to a 3rd-party eula39140_eula,0.89
1288,single-player;steam achievements;full controller support;steam trading cards;steam cloud;stats;steam leaderboards;remote play on tv;requires agreement to a 3rd-party eula;ryse: son of rome eula,0.88
1291,single-player;downloadable content;steam achievements;full controller support;steam cloud,0.6
1305,single-player;steam achievements;full controller support;steam trading cards;remote play on phone;remote play on tablet;remote play on tv;remote play together;requires agreement to a 3rd-party eula;magicka 2 eula,0.86
1321,single-player;steam achievements;full controller support;steam trading cards;captions available;steam cloud;remote play on tv;requires agreement to a 3rd-party eula;the evil within eula 1,0.87
1336,single-player;steam achievements;full controller support;steam trading cards;steam cloud,0.89
1339,single-player;cross-platform multiplayer;steam achievements;full controller support;steam trading cards;steam cloud;remote play on tv;requires agreement to a 3rd-party eula;dungeons 3 eula,0.95
1345,single-player;downloadable content;steam achievements;steam trading cards;steam cloud,0.44
1347,single-player;steam achievements;steam trading cards;partial controller support;steam cloud;requires agreement to a 3rd-party eula;batman: arkham asylum goty edition eula,0.96
1350,single-player;steam achievements;full controller support;steam trading cards,0.98
1351,single-player;shared/split screen co-op;steam achievements;full controller support;steam trading cards;captions available;steam workshop;steam cloud;steam leaderboards;includes level editor;remote play on phone;remote play on tablet;remote play on tv;remote play together,0.89
1356,single-player;steam achievements;steam trading cards;steam cloud,0.6
1362,single-player;online co-op;steam achievements;steam trading cards;steam cloud,0.88
1363,single-player;steam achievements;full controller support;remote play on tv,0.9
1365,single-player;steam achievements;full controller support;captions available;includes level editor;commentary available;remote play on phone;remote play on tablet;remote play on tv;remote play together,0.95
1373,mmo;online pvp;online co-op;steam trading cards;in-app purchases,0.77
1380,single-player;steam cloud,0.91
1382,single-player;steam achievements;full controller support;steam trading cards;steam cloud,0.98
1384,single-player;steam achievements;full controller support;steam trading cards;steam cloud;remote play on tv,0.92
1388,single-player;online pvp;steam achievements;full controller support;steam trading cards;steam cloud;steam leaderboards;requires agreement to a 3rd-party eula;tannenberg eula,0.93
1390,online pvp;partial controller support;requires agreement to a 3rd-party eula;realm royale eula,0.84
1398,single-player;steam achievements;full controller support;steam cloud,0.73
1399,single-player;steam achievements;full controller support;remote play on tv;requires agreement to a 3rd-party eula;the walking dead: the final season eula,0.95
1402,single-player;steam achievements;full controller support;steam trading cards;steam cloud,0.9
1404,single-player;steam achievements;full controller support;steam trading cards;steam cloud;remote play on tv;requires agreement to a 3rd-party eula;the surge eula,0.75
1410,single-player;shared/split screen co-op;steam achievements;full controller support;steam cloud;remote play on tv;remote play together,0.78
1411,single-player;steam achievements;full controller support;steam trading cards;steam leaderboards,0.82
1419,single-player;shared/split screen pvp;steam achievements;full controller support;steam trading cards;steam cloud;steam leaderboards;remote play on phone;remote play on tablet;remote play on tv;remote play together;requires agreement to a 3rd-party eula;mortal kombat x eula,0.93
1420,single-player;steam achievements;full controller support;steam trading cards;steam cloud,1.0
1427,single-player;steam achievements;full controller support;steam trading cards,0.96
1433,single-player;steam achievements;full controller support;steam workshop;steam cloud;remote play on tv;requires agreement to a 3rd-party eula;we happy few eula,0.75
1434,single-player;shared/split screen co-op;steam achievements;full controller support;steam trading cards;steam cloud;remote play together;requires agreement to a 3rd-party eula;struggling eula,0.9
1437,single-player;steam achievements;steam trading cards,0.93
1438,single-player;shared/split screen pvp;steam achievements;full controller support;steam trading cards;steam cloud;remote play together;requires agreement to a 3rd-party eula;katamari damacy reroll eula,0.9
1442,single-player;online pvp;steam achievements;full controller support;steam trading cards;steam cloud;steam leaderboards,0.79
1447,single-player;online pvp;shared/split screen pvp;steam achievements;partial controller support;remote play on phone;remote play on tablet;remote play together,0.94
1456,single-player;steam achievements;full controller support;steam trading cards;steam cloud,0.63
1460,single-player;steam achievements;full controller support;steam cloud;remote play on tv,0.94
1464,single-player;steam achievements;steam trading cards;partial controller support;steam cloud;remote play on phone;remote play on tablet;requires agreement to a 3rd-party eula;final fantasy ix eula,0.95
1478,single-player;online pvp;steam achievements;full controller support;steam trading cards;steam cloud;valve anti-cheat enabled;requires agreement to a 3rd-party eula;di;rt 4 eula,0.87
1484,single-player;steam achievements;full controller support;steam trading cards;steam cloud;remote play on tv,0.89
1485,single-player;steam achievements;full controller support;steam trading cards;steam workshop;steam cloud;includes level editor,0.96
1490,single-player;steam achievements;full controller support;steam trading cards;steam cloud;remote play on tv;requires agreement to a 3rd-party eula;daymare: 1998 eula,0.7
1491,single-player;requires agreement to a 3rd-party eula;view eula,0.88
1492,online pvp;steam achievements;in-app purchases;requires agreement to a 3rd-party eula;cuisine royale eula,0.8
1496,single-player;steam achievements;partial controller support,0.9
1503,single-player;steam achievements;steam trading cards;steam cloud,0.76
1505,single-player;requires agreement to a 3rd-party eula;sid meier's pirates! eula,0.98
1506,"single-player;online pvp;steam achievements;steam trading cards;steam workshop;steam cloud;stats;includes level editor;incorporates 3rd-party drm: denuvo antitamper;requires agreement to a 3rd-party eula;warhammer 40,000: dawn of war iii eula 1",0.52
1507,single-player;steam achievements;full controller support;steam trading cards;steam cloud,0.86
1511,single-player;steam achievements;full controller support;steam trading cards;steam cloud;remote play on tv,0.89
1528,single-player;shared/split screen pvp;steam achievements;full controller support;steam trading cards;captions available;steam cloud;remote play on phone;remote play on tablet;remote play on tv;remote play together,0.83
1529,single-player;steam achievements;full controller support;steam trading cards;steam workshop;steam cloud;remote play on tv;remote play together;requires agreement to a 3rd-party eula;soma eula 1,0.95
1537,single-player;steam achievements;partial controller support;steam cloud;steam leaderboards;requires agreement to a 3rd-party eula;wolfenstein: the old blood  eula,0.9
1546,single-player;steam achievements;steam trading cards;partial controller support;steam cloud;steam leaderboards,0.95
1549,single-player;shared/split screen pvp;shared/split screen co-op;steam achievements;full controller support;steam trading cards;steam cloud;steam leaderboards;remote play on phone;remote play on tablet;remote play on tv;remote play together;requires agreement to a 3rd-party eula;sonic mania eula 1,0.96
1551,single-player;steam achievements;steam trading cards;partial controller support;steam cloud,0.99
1553,single-player;steam achievements;full controller support;steam trading cards;steam cloud;requires agreement to a 3rd-party eula;life is strange: before the storm eula,0.93
1562,single-player;online pvp;steam achievements;partial controller support;steam cloud;stats;steam leaderboards;remote play on tablet;requires agreement to a 3rd-party eula;sword art online: fatal bullet eula,0.86
1568,single-player;steam achievements;steam trading cards;steam workshop;steam cloud;includes level editor,0.93
1570,single-player;steam achievements;full controller support;steam trading cards;steam cloud;remote play on tv,0.91
1571,single-player;steam achievements;full controller support;steam trading cards;steam cloud,0.87
1573,single-player,0.95
1578,single-player;partial controller support;requires agreement to a 3rd-party eulaeula_rockstar,0.75
1582,single-player;online pvp;shared/split screen pvp;online co-op;shared/split screen co-op;cross-platform multiplayer;downloadable content;steam achievements;full controller support;steam trading cards;remote play on phone;remote play on tablet;remote play on tv;remote play together,0.9
1585,single-player;shared/split screen pvp;shared/split screen co-op;steam achievements;full controller support;steam trading cards;steam cloud;remote play on phone;remote play on tablet;remote play on tv;remote play together,0.95
1586,single-player;requires agreement to a 3rd-party eulaeula_16450,0.85
1591,single-player;online pvp;steam achievements;partial controller support;steam cloud,0.72
1592,single-player;online pvp;online co-op;steam achievements;steam trading cards;partial controller support;steam cloud;requires agreement to a 3rd-party eula;god eater 3 eula,0.9
1597,single-player;online pvp;online co-op;steam achievements;steam trading cards;steam workshop;steam cloud;includes level editor,0.75
1603,shared/split screen pvp;steam achievements;full controller support;steam cloud;remote play on phone;remote play on tablet;remote play on tv;remote play together,0.92
1605,single-player;steam achievements;full controller support;steam trading cards;steam cloud;remote play on tv,0.57
1607,single-player;steam achievements;full controller support;steam trading cards,0.86
1609,single-player;online pvp;online co-op;steam achievements;full controller support;steam cloud;remote play on tv;requires agreement to a 3rd-party eula;the blackout club eula,0.66
1626,single-player;steam achievements;steam trading cards;captions available;partial controller support;steam cloud;commentary available;remote play on tablet;requires agreement to a 3rd-party eula;deus ex: human revolution - director's cut eula,0.92
1630,single-player;partial controller support;steam cloud,0.97
1631,single-player;cross-platform multiplayer;steam achievements;steam trading cards;steam workshop;valve anti-cheat enabled;stats;includes level editor,0.92
1633,single-player;full controller support;incorporates 3rd-party drm: games for windows live1 / gfwl account machine activation limit,0.49
1639,single-player;online pvp;shared/split screen pvp;online co-op;shared/split screen co-op;full controller support;includes level editor;remote play on phone;remote play on tablet;remote play on tv;remote play together,0.98
1642,single-player;steam achievements;partial controller support;steam cloud,0.91
1644,single-player;steam achievements;full controller support;steam trading cards;steam cloud;remote play on tv,0.91
1649,single-player,0.89
1654,single-player;steam achievements;partial controller support;steam leaderboards,0.82
1668,single-player;shared/split screen co-op;steam achievements;full controller support;steam trading cards;steam cloud;remote play on phone;remote play on tablet;remote play on tv;remote play together,0.92
1670,single-player;requires agreement to a 3rd-party eulaeula_9420,0.94
1679,single-player;cross-platform multiplayer;steam achievements;steam trading cards;steam workshop;steam cloud;includes level editor;remote play together;requires agreement to a 3rd-party eula;age of wonders iii eula,0.9
1680,single-player;steam achievements;full controller support;steam cloud;commentary available,0.96
1687,single-player;steam trading cards;steam cloud;includes level editor,0.99
1688,single-player;downloadable content;steam achievements;full controller support;steam trading cards;steam workshop;steam cloud,0.71
1691,single-player;steam achievements;full controller support;steam trading cards;steam cloud;remote play on tv,0.92
1697,single-player;steam achievements;full controller support;steam trading cards;steam cloud;requires agreement to a 3rd-party eula;final fantasy vi eula,0.81
1698,single-player;steam achievements;stats;steam leaderboards;requires agreement to a 3rd-party eula;supreme commander 2 eula,0.9
1699,single-player;steam achievements;full controller support;steam trading cards;steam cloud;remote play on phone;remote play on tablet;remote play on tv;requires agreement to a 3rd-party eula;final fantasy viii - remastered eula,0.62
1706,single-player;online pvp;lan pvp;online co-op;lan co-op;steam workshop,0.73
1711,single-player;partial controller support;requires agreement to a 3rd-party eulaeula_rockstar,0.93
1718,single-player;valve anti-cheat enabled,0.87
1721,single-player;steam achievements;full controller support;steam cloud;remote play on phone;remote play on tablet;remote play on tv,0.98
1722,single-player;shared/split screen co-op;steam achievements;full controller support;steam trading cards;steam cloud;remote play on phone;remote play on tablet;remote play on tv;remote play together,0.95
1743,single-player;steam cloud,0.97
1746,single-player;steam achievements;full controller support;steam trading cards;steam cloud;remote play on tv,0.82
1748,single-player;steam achievements;steam workshop;steam cloud;steam leaderboards;includes level editor,0.93
1753,single-player;steam achievements;full controller support;steam trading cards,0.9
1760,single-player;steam achievements;partial controller support;remote play together;requires agreement to a 3rd-party eula;one piece pirate warriors 3 eula,0.71
1767,single-player;steam achievements;full controller support;steam trading cards;steam cloud;remote play on phone;remote play on tablet;remote play on tv;requires agreement to a 3rd-party eula;bayonetta eula 1,0.91
1772,single-player;steam achievements;steam trading cards;partial controller support;steam cloud,0.71
1775,single-player;steam achievements;full controller support;steam trading cards;steam cloud;steam leaderboards;remote play on phone;remote play on tablet;remote play on tv,0.92
1778,single-player;steam achievements;full controller support;steam cloud;stats;steam leaderboards;remote play on tv;remote play together,0.98
1781,single-player;online pvp;steam achievements;full controller support;steam trading cards;steam cloud;steam leaderboards;remote play on tv,0.83
1785,single-player;steam trading cards,0.94
1793,single-player;online pvp;shared/split screen pvp;steam achievements;full controller support;steam cloud;stats;steam leaderboards;remote play together,0.87
1800,single-player;online pvp;steam achievements;full controller support;steam trading cards;steam workshop;steam cloud;steam leaderboards;includes level editor;remote play on tv;requires agreement to a 3rd-party eula;sudden strike 4 eula,0.82
1806,single-player;steam achievements;full controller support;steam cloud;remote play on phone;remote play on tablet;remote play on tv,0.91
1814,single-player;steam achievements;full controller support;steam trading cards;remote play on tv;remote play together,0.91
1818,single-player;steam achievements;full controller support;steam trading cards;captions available;steam cloud;remote play on tv,0.63
1829,single-player;steam achievements;full controller support;remote play on tv,0.97
1837,single-player;steam achievements;full controller support;steam trading cards;steam leaderboards;remote play on phone;remote play on tablet;remote play on tv;remote play together;requires agreement to a 3rd-party eula42910_eula,0.75
1839,single-player;steam achievements;steam trading cards;steam cloud;stats;steam leaderboards;requires agreement to a 3rd-party eula;homeworld: deserts of kharak eula 1,0.93
1846,single-player;online co-op;downloadable content;steam achievements;full controller support;steam trading cards;steam workshop;steam cloud;valve anti-cheat enabled;includes level editor;remote play on tv,0.46
1856,single-player;steam achievements;full controller support;steam cloud;remote play on tv,0.79
1860,single-player;steam achievements;full controller support;steam trading cards;steam cloud,0.93
1874,single-player;requires agreement to a 3rd-party eulaeula_9350,0.9
1876,single-player;steam achievements;full controller support;steam trading cards;steam cloud;remote play on tv,0.67
1878,single-player;online co-op;steam achievements;full controller support;steam trading cards;steam cloud;remote play on tv,0.92
1899,single-player;steam achievements;steam trading cards;partial controller support;steam cloud;steam leaderboards,0.89
1905,single-player;online pvp;online co-op;downloadable content;steam achievements;full controller support;steam trading cards;steam cloud,0.69
1908,single-player;online pvp;online co-op;steam achievements;steam trading cards;partial controller support,0.89
1910,single-player;online co-op;lan co-op;cross-platform multiplayer;downloadable content;steam achievements;full controller support;steam trading cards;steam cloud;incorporates 3rd-party drm: denuvo anti-tamper5 activations per 24 hours machine activation limit,1.0
1920,single-player;steam achievements;steam trading cards;remote play on phone;remote play on tablet,0.98
1934,single-player;online pvp;shared/split screen pvp;online co-op;shared/split screen co-op;steam achievements;steam trading cards;partial controller support;steam cloud;steam leaderboards;remote play together,0.92
1937,single-player;online pvp;steam achievements;steam trading cards;partial controller support;steam cloud,0.93
1938,single-player;steam achievements;full controller support;captions available;remote play on tv,0.86
1948,single-player;online pvp;steam achievements;steam trading cards;captions available;steam cloud,0.72
1951,single-player;steam achievements;full controller support;steam cloud;stats;steam leaderboards;remote play on phone;remote play on tablet;remote play on tv,0.91
1953,single-player;online co-op;steam achievements;steam trading cards;captions available;partial controller support;steam cloud,0.78
1955,single-player;steam achievements,1.0
1957,single-player;online pvp;shared/split screen pvp;downloadable content;steam achievements;full controller support;steam trading cards;steam cloud;remote play on tv;remote play together,0.9
1977,single-player;steam cloud,0.96
1986,single-player;steam achievements;steam trading cards;steam workshop;steam cloud,0.91
2003,single-player;shared/split screen pvp;shared/split screen co-op;steam achievements;full controller support;steam trading cards;remote play on phone;remote play on tablet;remote play on tv;remote play together,0.92
2005,single-player;steam achievements;partial controller support,0.8
2007,single-player;steam cloud,0.92
2023,single-player;steam achievements;full controller support;steam cloud;remote play on tv,0.81
2029,single-player;steam achievements;steam cloud;stats;steam leaderboards,0.8
2030,single-player;steam achievements;full controller support,0.95
2040,online pvp;steam achievements;steam trading cards;steam workshop;valve anti-cheat enabled;stats;includes level editor;requires agreement to a 3rd-party eulaeula_104320,0.94
2044,single-player;downloadable content;steam achievements;full controller support;steam trading cards;steam cloud,0.95
2051,single-player;partial controller support,0.92
2056,single-player;steam achievements;full controller support;steam trading cards;steam cloud;remote play on tv,1.0
2079,single-player;steam achievements;full controller support;steam trading cards;steam cloud;steam leaderboards;remote play on tv,0.79
2080,single-player;requires agreement to a 3rd-party eula;mafia eula,0.93
2081,single-player;mmo;cross-platform multiplayer;in-app purchases;requires agreement to a 3rd-party eula;shakes and fidget eula,0.96
2087,single-player;shared/split screen pvp;steam achievements;partial controller support;steam cloud;stats;steam leaderboards;remote play together,0.85
2088,single-player;shared/split screen pvp;steam achievements;steam trading cards;partial controller support;steam cloud;steam leaderboards;remote play together,1.0
2099,mmo;steam achievements;requires agreement to a 3rd-party eula;apb reloaded eula,0.6
2119,single-player,0.92
2128,single-player;steam achievements;full controller support;steam trading cards;steam cloud;steam leaderboards;requires agreement to a 3rd-party eula;mega man x legacy collection eula,0.82
2130,single-player;online pvp;online co-op;steam achievements;full controller support;remote play on tv,0.88
2141,single-player;steam achievements;full controller support;requires agreement to a 3rd-party eula;batman: the telltale series eula,0.91
2143,single-player;steam achievements;steam trading cards;partial controller support;steam cloud;requires agreement to a 3rd-party eula;obduction eula 1,0.8
2155,single-player;online pvp;shared/split screen pvp;steam achievements;full controller support;steam trading cards;steam workshop;steam leaderboards;includes level editor;remote play on tv;remote play together,0.7
2157,single-player;online pvp;shared/split screen pvp;online co-op;shared/split screen co-op;cross-platform multiplayer;steam achievements;full controller support;steam trading cards;steam cloud;steam turn notifications;includes level editor;remote play on tv;remote play together;requires agreement to a 3rd-party eula;wargroove eula,0.9
2164,single-player;shared/split screen co-op;steam achievements;full controller support;steam trading cards;steam cloud;remote play on tv;remote play together,0.95
2173,single-player;steam achievements;requires agreement to a 3rd-party eula;unreal tournament 3: black edition eula 1,1.0
2185,single-player;steam achievements;steam cloud;requires agreement to a 3rd-party eula;a fisherman's tale eula,1.0
2187,single-player;requires agreement to a 3rd-party eulaeula_rockstar,0.93
2191,single-player;online pvp;online co-op;cross-platform multiplayer;steam achievements;steam;vr collectibles;steam cloud,0.76
2193,single-player;steam achievements;steam trading cards;captions available;steam workshop;steam cloud;includes level editor,0.91
2195,single-player;shared/split screen co-op;steam achievements;full controller support;steam trading cards;steam workshop;steam cloud;steam leaderboards;remote play on tv;remote play together,0.91
2196,single-player;steam achievements;full controller support;steam cloud;remote play on tv,0.95
2202,single-player;shared/split screen pvp;shared/split screen co-op;steam achievements;full controller support;steam cloud;remote play together,1.0
2205,single-player;steam achievements;full controller support;steam trading cards;steam cloud,0.97
2215,single-player;steam achievements;steam trading cards;partial controller support;stats,0.83
2232,single-player;partial controller support,0.94
2243,single-player;steam achievements;captions available;in-app purchases;partial controller support,0.82
2248,single-player;shared/split screen pvp;steam achievements;full controller support;steam cloud;stats;steam leaderboards;remote play together,0.84
2258,single-player;full controller support;remote play on tv;requires agreement to a 3rd-party eula205950_eula205950_eula;us,0.91
2260,single-player;online co-op;lan co-op;cross-platform multiplayer;steam achievements;full controller support;steam cloud,0.81
